state,year,civilian_labor_force_population,unemployed
Colorado,1991,1794287 ,94218 
Connecticut,1991,1841104 ,120448 
Delaware,1991,361714 ,22411 
District of Columbia,1991,321433 ,24956 
Florida,1991,6532429 ,492213 
Georgia,1991,3278409 ,170243 
Hawaii,1991,571588 ,16401 
Idaho,1991,508081 ,31576 
Illinois,1991,5944289 ,430963 
Indiana,1991,2792829 ,166675 
Iowa,1991,1474789 ,68625 
Kansas,1991,1279949 ,56519 
Kentucky,1991,1762723 ,128478 
Louisiana,1991,1907456 ,138846 
Maine,1991,645139 ,48636 
Maryland,1991,2616556 ,159733 
Massachusetts,1991,3194946 ,275443 
Michigan,1991,4595664 ,422991 
Minnesota,1991,2427606 ,124980 
Mississippi,1991,1184038 ,101079 
Missouri,1991,2645085 ,173990 
Montana,1991,405837 ,28033 
Nebraska,1991,836294 ,22274 
Nevada,1991,702749 ,40964 
New Hampshire,1991,614313 ,44860 
New Jersey,1991,4065824 ,272005 
New Mexico,1991,725155 ,51752 
New York,1991,8741100 ,632839 
North Carolina,1991,3538010 ,204492 
North Dakota,1991,315214 ,13735 
Ohio,1991,5431912 ,351623 
Oklahoma,1991,1507357 ,94993 
Oregon,1991,1516876 ,96752 
Pennsylvania,1991,5855127 ,412611 
Rhode Island,1991,518015 ,44367 
South Carolina,1991,1758778 ,107791 
South Dakota,1991,350013 ,12251 
Tennessee,1991,2413716 ,163108 
Texas,1991,8766240 ,605728 
Utah,1991,852319 ,40113 
Vermont,1991,303590 ,19914 
Virginia,1991,3339309 ,197102 
Washington,1991,2545980 ,161657 
West Virginia,1991,776738 ,82637 
Wisconsin,1991,2620564 ,143638 
Wyoming,1991,235670 ,12344 
Alabama,1992,1965516 ,148990 
Alaska,1992,287216 ,25592 
Arizona,1992,1873606 ,141279 
Arkansas,1992,1154527 ,82019 
California,1992,15304998 ,1424054 
Colorado,1992,1845245 ,110530 
Connecticut,1992,1827707 ,138023 
Delaware,1992,367162 ,19909 
District of Columbia,1992,317226 ,27273 
Florida,1992,6657112 ,548145 
Georgia,1992,3399695 ,235077 
Hawaii,1992,584253 ,25317 
Idaho,1992,531126 ,33754 
Illinois,1992,6027916 ,475377 
Indiana,1992,2857384 ,187573 
Iowa,1992,1511801 ,67476 
Kansas,1992,1308836 ,58642 
Kentucky,1992,1778852 ,122416 
Louisiana,1992,1921822 ,154485 
Maine,1992,644489 ,47134 
Maryland,1992,2651353 ,180141 
Massachusetts,1992,3181030 ,269002 
Michigan,1992,4678258 ,420012 
Minnesota,1992,2468394 ,126132 
Mississippi,1992,1190488 ,95949 
Missouri,1992,2651148 ,163944 
Montana,1992,417467 ,28076 
Nebraska,1992,847609 ,24225 
Nevada,1992,731906 ,48678 
New Hampshire,1992,614149 ,44719 
New Jersey,1992,4063907 ,339998 
New Mexico,1992,741883 ,53285 
New York,1992,8751234 ,753632 
North Carolina,1992,3603937 ,217849 
North Dakota,1992,315924 ,14985 
Ohio,1992,5503260 ,406156 
Oklahoma,1992,1517081 ,91289 
Oregon,1992,1554604 ,115073 
Pennsylvania,1992,5911157 ,448987 
Rhode Island,1992,526655 ,46751 
South Carolina,1992,1789261 ,120368 
South Dakota,1992,356762 ,11854 
Tennessee,1992,2457179 ,159815 
Texas,1992,9005336 ,688036 
Utah,1992,888853 ,43083 
Vermont,1992,307571 ,18768 
Virginia,1992,3400299 ,213476 
Washington,1992,2635812 ,193332 
West Virginia,1992,778882 ,88112 
Wisconsin,1992,2687155 ,137382 
Wyoming,1992,238859 ,13355 
Alabama,1993,2003905 ,147151 
Alaska,1993,295432 ,22723 
Arizona,1993,1949027 ,124774 
Arkansas,1993,1177924 ,72386 
California,1993,15261199 ,1444167 
Colorado,1993,1931142 ,102463 
Connecticut,1993,1795716 ,119138 
Delaware,1993,376854 ,19077 
District of Columbia,1993,315856 ,26931 
Florida,1993,6756534 ,481600 
Georgia,1993,3480778 ,209493 
Hawaii,1993,586404 ,26290 
Idaho,1993,554106 ,33143 
Illinois,1993,6072484 ,451751 
Indiana,1993,2948307 ,158776 
Iowa,1993,1559713 ,62924 
Kansas,1993,1333092 ,66217 
Kentucky,1993,1803302 ,112094 
Louisiana,1993,1897952 ,144738 
Maine,1993,628854 ,45634 
Maryland,1993,2658444 ,164293 
Massachusetts,1993,3174301 ,221718 
Michigan,1993,4742463 ,342262 
Minnesota,1993,2516375 ,124840 
Mississippi,1993,1215133 ,80398 
Missouri,1993,2684206 ,167139 
Montana,1993,422646 ,25544 
Nebraska,1993,864394 ,23819 
Nevada,1993,768893 ,52651 
New Hampshire,1993,617488 ,37895 
New Jersey,1993,4019377 ,305542 
New Mexico,1993,758589 ,52863 
New York,1993,8715592 ,689074 
North Carolina,1993,3628362 ,182243 
North Dakota,1993,323927 ,13866 
Ohio,1993,5501305 ,364692 
Oklahoma,1993,1533187 ,90985 
Oregon,1993,1599829 ,112454 
Pennsylvania,1993,5904299 ,412752 
Rhode Island,1993,522244 ,40470 
South Carolina,1993,1829683 ,133059 
South Dakota,1993,365476 ,12268 
Tennessee,1993,2526887 ,146402 
Texas,1993,9187561 ,657374 
Utah,1993,940966 ,38186 
Vermont,1993,312578 ,16121 
Virginia,1993,3378790 ,177073 
Washington,1993,2692270 ,197271 
West Virginia,1993,779810 ,82789 
Wisconsin,1993,2754297 ,130994 
Wyoming,1993,242868 ,12973 
Alabama,1994,2026692 ,125836 
Alaska,1994,302371 ,22900 
Arizona,1994,2104125 ,129346 
Arkansas,1994,1218426 ,65319 
California,1994,15256527 ,1311788 
Colorado,1994,2039524 ,86525 
Connecticut,1994,1756296 ,98471 
Delaware,1994,384827 ,18503 
District of Columbia,1994,310532 ,24756 
Florida,1994,6947512 ,447567 
Georgia,1994,3593963 ,187891 
Hawaii,1994,585215 ,32298 
Idaho,1994,587134 ,31796 
Illinois,1994,6108648 ,353103 
Indiana,1994,3064328 ,149257 
Iowa,1994,1579261 ,55535 
Kansas,1994,1348851 ,66060 
Kentucky,1994,1826236 ,98404 
Louisiana,1994,1943086 ,152459 
Maine,1994,621684 ,43430 
Maryland,1994,2681591 ,141349 
Massachusetts,1994,3200834 ,193475 
Michigan,1994,4807898 ,288360 
Minnesota,1994,2556437 ,104383 
Mississippi,1994,1248762 ,78366 
Missouri,1994,2770737 ,140045 
Montana,1994,432281 ,22651 
Nebraska,1994,886391 ,23455 
Nevada,1994,812037 ,50186 
New Hampshire,1994,624921 ,29592 
New Jersey,1994,4058732 ,276723 
New Mexico,1994,781343 ,50631 
New York,1994,8678491 ,602579 
North Carolina,1994,3686337 ,161440 
North Dakota,1994,336807 ,12493 
Ohio,1994,5548818 ,309553 
Oklahoma,1994,1548909 ,86330 
Oregon,1994,1646846 ,89473 
Pennsylvania,1994,5893118 ,369506 
Rhode Island,1994,514025 ,35458 
South Carolina,1994,1843154 ,114854 
South Dakota,1994,378141 ,12345 
Tennessee,1994,2659938 ,128809 
Texas,1994,9403041 ,609858 
Utah,1994,990791 ,37509 
Vermont,1994,315615 ,14430 
Virginia,1994,3428901 ,166665 
Washington,1994,2739472 ,179540 
West Virginia,1994,782507 ,69135 
Wisconsin,1994,2829522 ,127767 
Wyoming,1994,250668 ,12442 
Alabama,1995,2067444 ,123566 
Alaska,1995,304160 ,22271 
Arizona,1995,2229131 ,119231 
Arkansas,1995,1238738 ,59903 
California,1995,15246014 ,1197789 
Colorado,1995,2124988 ,85341 
Connecticut,1995,1734064 ,95004 
Delaware,1995,385838 ,16638 
District of Columbia,1995,300085 ,26317 
Florida,1995,7046151 ,389618 
Georgia,1995,3682926 ,178161 
Hawaii,1995,586481 ,34472 
Idaho,1995,600704 ,32486 
Illinois,1995,6174337 ,318682 
Indiana,1995,3135172 ,144076 
Iowa,1995,1587051 ,54651 
Kansas,1995,1349748 ,59589 
Kentucky,1995,1855545 ,100516 
Louisiana,1995,1959012 ,137058 
Maine,1995,637534 ,38000 
Maryland,1995,2710626 ,136232 
Massachusetts,1995,3214652 ,169956 
Michigan,1995,4812501 ,253579 
Minnesota,1995,2604291 ,97326 
Mississippi,1995,1258844 ,78330 
Missouri,1995,2863240 ,135009 
Montana,1995,443172 ,25091 
Nebraska,1995,902311 ,23897 
Nevada,1995,844115 ,46923 
New Hampshire,1995,631197 ,25044 
New Jersey,1995,4121562 ,264089 
New Mexico,1995,799191 ,52546 
New York,1995,8661116 ,548432 
North Carolina,1995,3763539 ,161918 
North Dakota,1995,340299 ,10951 
Ohio,1995,5589102 ,268751 
Oklahoma,1995,1555736 ,71266 
Oregon,1995,1672690 ,82026 
Pennsylvania,1995,5908490 ,345982 
Rhode Island,1995,511418 ,32338 
South Carolina,1995,1857227 ,96660 
South Dakota,1995,387360 ,11796 
Tennessee,1995,2732184 ,140712 
Texas,1995,9577635 ,580097 
Utah,1995,1012703 ,35409 
Vermont,1995,319849 ,13709 
Virginia,1995,3451089 ,155955 
Washington,1995,2811332 ,181112 
West Virginia,1995,784567 ,61697 
Wisconsin,1995,2882201 ,108879 
Wyoming,1995,255335 ,12259 
Alabama,1996,2086463 ,109129 
Alaska,1996,309772 ,23520 
Arizona,1996,2285205 ,127239 
Arkansas,1996,1248668 ,65620 
California,1996,15422616 ,1122173 
Colorado,1996,2154732 ,91414 
Connecticut,1996,1741727 ,95775 
Delaware,1996,388134 ,19880 
District of Columbia,1996,287378 ,24215 
Florida,1996,7169990 ,369862 
Georgia,1996,3810136 ,177219 
Hawaii,1996,595598 ,37431 
Idaho,1996,616791 ,32654 
Illinois,1996,6247845 ,330382 
Indiana,1996,3109669 ,126460 
Iowa,1996,1608348 ,56637 
Kansas,1996,1358124 ,57740 
Kentucky,1996,1874089 ,102468 
Louisiana,1996,1989219 ,131504 
Maine,1996,656737 ,34157 
Maryland,1996,2740602 ,138268 
Massachusetts,1996,3241366 ,143803 
Michigan,1996,4877630 ,238793 
Minnesota,1996,2652527 ,104831 
Mississippi,1996,1264513 ,76301 
Missouri,1996,2908811 ,139189 
Montana,1996,449306 ,23838 
Nebraska,1996,914379 ,24941 
Nevada,1996,891348 ,44932 
New Hampshire,1996,638154 ,24332 
New Jersey,1996,4205216 ,258562 
New Mexico,1996,812619 ,58616 
New York,1996,8785710 ,548587 
North Carolina,1996,3901251 ,167732 
North Dakota,1996,347537 ,10125 
Ohio,1996,5645423 ,282437 
Oklahoma,1996,1580955 ,64532 
Oregon,1996,1719625 ,98023 
Pennsylvania,1996,5979581 ,325751 
Rhode Island,1996,516096 ,28087 
South Carolina,1996,1893455 ,109672 
South Dakota,1996,391213 ,12330 
Tennessee,1996,2767002 ,143245 
Texas,1996,9719628 ,553712 
Utah,1996,1038967 ,34988 
Vermont,1996,323956 ,13913 
Virginia,1996,3420680 ,152127 
Washington,1996,2884868 ,174654 
West Virginia,1996,795409 ,59708 
Wisconsin,1996,2933003 ,105909 
Wyoming,1996,255836 ,12631 
Alabama,1997,2133573 ,106509 
Alaska,1997,313217 ,22372 
Arizona,1997,2308569 ,105658 
Arkansas,1997,1242594 ,65073 
California,1997,15790063 ,1005427 
Colorado,1997,2217553 ,76756 
Connecticut,1997,1752540 ,87628 
Delaware,1997,387597 ,15453 
District of Columbia,1997,282744 ,22639 
Florida,1997,7368111 ,352275 
Georgia,1997,3960492 ,181275 
Hawaii,1997,600954 ,37374 
Idaho,1997,633725 ,32590 
Illinois,1997,6300928 ,301317 
Indiana,1997,3120608 ,109304 
Iowa,1997,1602935 ,49989 
Kansas,1997,1381702 ,51951 
Kentucky,1997,1916745 ,102253 
Louisiana,1997,2021240 ,121318 
Maine,1997,656709 ,33179 
Maryland,1997,2766990 ,137413 
Massachusetts,1997,3305660 ,129526 
Michigan,1997,4954558 ,211395 
Minnesota,1997,2679234 ,87259 
Mississippi,1997,1272802 ,72594 
Missouri,1997,2927870 ,127326 
Montana,1997,452708 ,24153 
Nebraska,1997,921312 ,23002 
Nevada,1997,939780 ,41284 
New Hampshire,1997,649244 ,21578 
New Jersey,1997,4263767 ,223994 
New Mexico,1997,823101 ,52032 
New York,1997,9012217 ,579640 
North Carolina,1997,3983679 ,149383 
North Dakota,1997,351391 ,9568 
Ohio,1997,5695177 ,264126 
Oklahoma,1997,1609954 ,65779 
Oregon,1997,1750280 ,99039 
Pennsylvania,1997,6056001 ,309930 
Rhode Island,1997,527878 ,27174 
South Carolina,1997,1911635 ,87488 
South Dakota,1997,393649 ,11533 
Tennessee,1997,2786082 ,146884 
Texas,1997,9922250 ,526713 
Utah,1997,1070223 ,34067 
Vermont,1997,327878 ,12825 
Virginia,1997,3446323 ,131979 
Washington,1997,2981747 ,146230 
West Virginia,1997,796507 ,54642 
Wisconsin,1997,2970086 ,105714 
Wyoming,1997,253828 ,12144 
Alabama,1998,2136177 ,93886 
Alaska,1998,315870 ,20047 
Arizona,1998,2387027 ,102704 
Arkansas,1998,1241352 ,64230 
California,1998,16144564 ,960094 
Colorado,1998,2311582 ,83736 
Connecticut,1998,1742196 ,59854 
Delaware,1998,394889 ,14639 
District of Columbia,1998,291902 ,24590 
Florida,1998,7521469 ,324810 
Georgia,1998,4072762 ,173937 
Hawaii,1998,601583 ,36626 
Idaho,1998,649435 ,33153 
Illinois,1998,6347005 ,280521 
Indiana,1998,3123160 ,96716 
Iowa,1998,1595942 ,43822 
Kansas,1998,1416392 ,49989 
Kentucky,1998,1932757 ,88735 
Louisiana,1998,2048904 ,116770 
Maine,1998,653210 ,29417 
Maryland,1998,2764180 ,121970 
Massachusetts,1998,3340628 ,110186 
Michigan,1998,5019762 ,195438 
Minnesota,1998,2711784 ,73063 
Mississippi,1998,1274790 ,67045 
Missouri,1998,2916610 ,121639 
Montana,1998,460394 ,25526 
Nebraska,1998,930952 ,23750 
Nevada,1998,978737 ,41350 
New Hampshire,1998,661664 ,18608 
New Jersey,1998,4246417 ,194886 
New Mexico,1998,834554 ,50723 
New York,1998,9071814 ,509640 
North Carolina,1998,3990054 ,138084 
North Dakota,1998,349505 ,10091 
Ohio,1998,5707110 ,246193 
Oklahoma,1998,1637452 ,69649 
Oregon,1998,1779976 ,102236 
Pennsylvania,1998,6063130 ,279933 
Rhode Island,1998,532609 ,24545 
South Carolina,1998,1941200 ,73392 
South Dakota,1998,399442 ,11151 
Tennessee,1998,2812390 ,120873 
Texas,1998,10095846 ,492825 
Utah,1998,1100830 ,40167 
Vermont,1998,333732 ,11334 
Virginia,1998,3485097 ,101345 
Washington,1998,3050487 ,146201 
West Virginia,1998,795145 ,52617 
Wisconsin,1998,2969590 ,99559 
Wyoming,1998,257589 ,12099 
Alabama,1999,2140296 ,101407 
Alaska,1999,317943 ,20589 
Arizona,1999,2473013 ,109929 
Arkansas,1999,1255032 ,57712 
California,1999,16416600 ,861322 
Colorado,1999,2344282 ,72085 
Connecticut,1999,1754565 ,50431 
Delaware,1999,398783 ,13593 
District of Columbia,1999,306131 ,19481 
Florida,1999,7657159 ,297699 
Georgia,1999,4153499 ,163106 
Hawaii,1999,602907 ,32513 
Idaho,1999,651207 ,31970 
Illinois,1999,6467988 ,281445 
Indiana,1999,3124851 ,95017 
Iowa,1999,1596414 ,41324 
Kansas,1999,1425599 ,46732 
Kentucky,1999,1959402 ,88529 
Louisiana,1999,2039045 ,103588 
Maine,1999,668497 ,26412 
Maryland,1999,2766119 ,98778 
Massachusetts,1999,3353865 ,106853 
Michigan,1999,5115757 ,189758 
Minnesota,1999,2756145 ,76116 
Mississippi,1999,1286502 ,65800 
Missouri,1999,2904971 ,95646 
Montana,1999,464373 ,24380 
Nebraska,1999,937559 ,26115 
Nevada,1999,1020300 ,40654 
New Hampshire,1999,675195 ,18233 
New Jersey,1999,4287886 ,193327 
New Mexico,1999,836237 ,46560 
New York,1999,9126567 ,471981 
North Carolina,1999,4057006 ,129827 
North Dakota,1999,343452 ,11272 
Ohio,1999,5754992 ,246553 
Oklahoma,1999,1656205 ,58311 
Oregon,1999,1793699 ,98818 
Pennsylvania,1999,6076778 ,266616 
Rhode Island,1999,538096 ,22336 
South Carolina,1999,1981546 ,84490 
South Dakota,1999,406105 ,11058 
Tennessee,1999,2852445 ,113256 
Texas,1999,10245857 ,478006 
Utah,1999,1120920 ,39644 
Vermont,1999,336946 ,9967 
Virginia,1999,3540081 ,97061 
Washington,1999,3085544 ,150342 
West Virginia,1999,804343 ,51964 
Wisconsin,1999,2947247 ,92035 
Wyoming,1999,262758 ,12153 
Alabama,2000,2133223 ,97629 
Alaska,2000,319511 ,20365 
Arizona,2000,2509883 ,99302 
Arkansas,2000,1258301 ,53606 
California,2000,16867808 ,834629 
Colorado,2000,2359515 ,65107 
Connecticut,2000,1764126 ,42213 
Delaware,2000,413500 ,15473 
District of Columbia,2000,310469 ,17383 
Florida,2000,7856895 ,290914 
Georgia,2000,4222253 ,150696 
Hawaii,2000,605947 ,25733 
Idaho,2000,659824 ,30980 
Illinois,2000,6493466 ,282062 
Indiana,2000,3126379 ,97306 
Iowa,2000,1590453 ,41817 
Kansas,2000,1406580 ,50433 
Kentucky,2000,1965688 ,81974 
Louisiana,2000,2037075 ,108019 
Maine,2000,678164 ,22815 
Maryland,2000,2803685 ,100401 
Massachusetts,2000,3330177 ,89932 
Michigan,2000,5162774 ,186452 
Minnesota,2000,2812947 ,88829 
Mississippi,2000,1319266 ,71026 
Missouri,2000,2959946 ,106055 
Montana,2000,467293 ,23156 
Nebraska,2000,944973 ,26603 
Nevada,2000,1067022 ,44560 
New Hampshire,2000,687908 ,18287 
New Jersey,2000,4282069 ,158352 
New Mexico,2000,845755 ,41652 
New York,2000,9133869 ,415120 
North Carolina,2000,4138190 ,152039 
North Dakota,2000,342568 ,10161 
Ohio,2000,5787343 ,230586 
Oklahoma,2000,1660528 ,50429 
Oregon,2000,1818559 ,92815 
Pennsylvania,2000,6106892 ,252341 
Rhode Island,2000,543561 ,22248 
South Carolina,2000,1993562 ,74979 
South Dakota,2000,408658 ,10040 
Tennessee,2000,2843069 ,109788 
Texas,2000,10374053 ,444666 
Utah,2000,1142044 ,38237 
Vermont,2000,331404 ,9275 
Virginia,2000,3605811 ,82946 
Washington,2000,3059339 ,157847 
West Virginia,2000,809063 ,44352 
Wisconsin,2000,2973221 ,104839 
Wyoming,2000,266808 ,10394 
Alabama,2001,2115401 ,108517 
Alaska,2001,321393 ,20662 
Arizona,2001,2585284 ,123786 
Arkansas,2001,1253456 ,62183 
California,2001,17128430 ,930759 
Colorado,2001,2391048 ,90935 
Connecticut,2001,1759829 ,55055 
Delaware,2001,421786 ,14753 
District of Columbia,2001,310515 ,19704 
Florida,2001,8043714 ,374597 
Georgia,2001,4262041 ,172482 
Hawaii,2001,610630 ,27443 
Idaho,2001,677665 ,34385 
Illinois,2001,6457922 ,344245 
Indiana,2001,3140899 ,133392 
Iowa,2001,1612964 ,53723 
Kansas,2001,1390620 ,58586 
Kentucky,2001,1958409 ,101171 
Louisiana,2001,2028302 ,116484 
Maine,2001,674319 ,25774 
Maryland,2001,2837985 ,113801 
Massachusetts,2001,3381287 ,126153 
Michigan,2001,5119956 ,265326 
Minnesota,2001,2845203 ,107242 
Mississippi,2001,1294134 ,71634 
Missouri,2001,3001465 ,138627 
Montana,2001,466063 ,21154 
Nebraska,2001,950764 ,29761 
Nevada,2001,1112079 ,57817 
New Hampshire,2001,697760 ,23982 
New Jersey,2001,4288826 ,182601 
New Mexico,2001,857949 ,42307 
New York,2001,9151745 ,441848 
North Carolina,2001,4198338 ,231540 
North Dakota,2001,341816 ,9996 
Ohio,2001,5816832 ,249702 
Oklahoma,2001,1675935 ,61363 
Oregon,2001,1823916 ,117012 
Pennsylvania,2001,6178617 ,296929 
Rhode Island,2001,543862 ,24818 
South Carolina,2001,1949685 ,101746 
South Dakota,2001,412778 ,12747 
Tennessee,2001,2861343 ,130355 
Texas,2001,10532732 ,521686 
Utah,2001,1164077 ,51470 
Vermont,2001,337065 ,11176 
Virginia,2001,3670137 ,118762 
Washington,2001,3039367 ,191492 
West Virginia,2001,809128 ,40467 
Wisconsin,2001,3011703 ,136118 
Wyoming,2001,269359 ,10270 
Alabama,2002,2106161 ,124242 
Alaska,2002,326401 ,23821 
Arizona,2002,2679421 ,163415 
Arkansas,2002,1270997 ,69575 
California,2002,17257097 ,1148412 
Colorado,2002,2442992 ,135307 
Connecticut,2002,1774152 ,77025 
Delaware,2002,416783 ,16764 
District of Columbia,2002,306099 ,19603 
Florida,2002,8114409 ,458060 
Georgia,2002,4327691 ,216817 
Hawaii,2002,600924 ,25330 
Idaho,2002,684591 ,38042 
Illinois,2002,6349239 ,415342 
Indiana,2002,3171168 ,164357 
Iowa,2002,1637909 ,65349 
Kansas,2002,1413014 ,71411 
Kentucky,2002,1944020 ,110485 
Louisiana,2002,2004222 ,123076 
Maine,2002,675232 ,29297 
Maryland,2002,2869954 ,127453 
Massachusetts,2002,3431082 ,180997 
Michigan,2002,5017141 ,314742 
Minnesota,2002,2859602 ,128522 
Mississippi,2002,1286236 ,85045 
Missouri,2002,3000908 ,161441 
Montana,2002,467203 ,20563 
Nebraska,2002,954224 ,34823 
Nevada,2002,1129668 ,63547 
New Hampshire,2002,702280 ,31400 
New Jersey,2002,4346237 ,251063 
New Mexico,2002,874496 ,48410 
New York,2002,9275515 ,570163 
North Carolina,2002,4184713 ,278143 
North Dakota,2002,340631 ,12674 
Ohio,2002,5852985 ,336340 
Oklahoma,2002,1686568 ,78462 
Oregon,2002,1835325 ,138088 
Pennsylvania,2002,6218643 ,350036 
Rhode Island,2002,550256 ,27424 
South Carolina,2002,1949135 ,113312 
South Dakota,2002,417517 ,13278 
Tennessee,2002,2906591 ,150505 
Texas,2002,10748810 ,682940 
Utah,2002,1184751 ,68684 
Vermont,2002,343139 ,13712 
Virginia,2002,3726468 ,156898 
Washington,2002,3082839 ,228077 
West Virginia,2002,799998 ,47450 
Wisconsin,2002,3024319 ,162698 
Wyoming,2002,269546 ,10896 
Alabama,2003,2120225 ,127493 
Alaska,2003,331669 ,25946 
Arizona,2003,2736000 ,157146 
Arkansas,2003,1271696 ,75397 
California,2003,17277618 ,1174778 
Colorado,2003,2486229 ,148022 
Connecticut,2003,1784260 ,96336 
Delaware,2003,415160 ,17688 
District of Columbia,2003,306422 ,20968 
Florida,2003,8210696 ,427548 
Georgia,2003,4394437 ,211916 
Hawaii,2003,603122 ,24799 
Idaho,2003,690005 ,38670 
Illinois,2003,6300221 ,425613 
Indiana,2003,3182988 ,168333 
Iowa,2003,1606798 ,72309 
Kansas,2003,1437027 ,79160 
Kentucky,2003,1960045 ,120172 
Louisiana,2003,2018324 ,129350 
Maine,2003,683535 ,33964 
Maryland,2003,2882219 ,127696 
Massachusetts,2003,3422409 ,195428 
Michigan,2003,5027859 ,360756 
Minnesota,2003,2874663 ,140376 
Mississippi,2003,1301250 ,82105 
Missouri,2003,3020821 ,169834 
Montana,2003,471489 ,22223 
Nebraska,2003,964258 ,37943 
Nevada,2003,1147036 ,58249 
New Hampshire,2003,707524 ,30494 
New Jersey,2003,4347154 ,253468 
New Mexico,2003,889730 ,52063 
New York,2003,9263401 ,590492 
North Carolina,2003,4255631 ,271035 
North Dakota,2003,344676 ,12824 
Ohio,2003,5872372 ,366514 
Oklahoma,2003,1685572 ,92051 
Oregon,2003,1845544 ,149638 
Pennsylvania,2003,6170359 ,348648 
Rhode Island,2003,560483 ,29916 
South Carolina,2003,1997977 ,138212 
South Dakota,2003,423035 ,14947 
Tennessee,2003,2912187 ,164047 
Texas,2003,10914664 ,729352 
Utah,2003,1200236 ,67682 
Vermont,2003,345971 ,14849 
Virginia,2003,3753703 ,154439 
Washington,2003,3127404 ,231541 
West Virginia,2003,786552 ,47562 
Wisconsin,2003,3053642 ,173863 
Wyoming,2003,273620 ,11650 
Alabama,2004,2136458 ,121569 
Alaska,2004,336743 ,25100 
Arizona,2004,2796269 ,140841 
Arkansas,2004,1300318 ,74195 
California,2004,17383631 ,1079635 
Colorado,2004,2532361 ,138802 
Connecticut,2004,1774193 ,87980 
Delaware,2004,420384 ,16785 
District of Columbia,2004,312027 ,24344 
Florida,2004,8440428 ,390520 
Georgia,2004,4451800 ,212735 
Hawaii,2004,610912 ,20756 
Idaho,2004,703062 ,34621 
Illinois,2004,6325447 ,392320 
Indiana,2004,3167797 ,169729 
Iowa,2004,1601788 ,72027 
Kansas,2004,1463707 ,79840 
Kentucky,2004,1963875 ,106059 
Louisiana,2004,2037176 ,120640 
Maine,2004,686000 ,31839 
Maryland,2004,2889324 ,122849 
Massachusetts,2004,3395511 ,174673 
Michigan,2004,5062376 ,356785 
Minnesota,2004,2880428 ,134813 
Mississippi,2004,1313102 ,80915 
Missouri,2004,3015650 ,176778 
Montana,2004,480281 ,22858 
Nebraska,2004,969981 ,37466 
Nevada,2004,1177634 ,50691 
New Hampshire,2004,716186 ,27036 
New Jersey,2004,4349171 ,210341 
New Mexico,2004,902265 ,49653 
New York,2004,9355953 ,543335 
North Carolina,2004,4253126 ,233317 
North Dakota,2004,352466 ,12063 
Ohio,2004,5870479 ,368035 
Oklahoma,2004,1689608 ,82187 
Oregon,2004,1838112 ,134409 
Pennsylvania,2004,6213778 ,336781 
Rhode Island,2004,558688 ,28795 
South Carolina,2004,2033310 ,139169 
South Dakota,2004,427664 ,15902 
Tennessee,2004,2878736 ,153628 
Texas,2004,10992359 ,653875 
Utah,2004,1231160 ,61365 
Vermont,2004,347673 ,12774 
Virginia,2004,3795246 ,144977 
Washington,2004,3197095 ,200300 
West Virginia,2004,783658 ,41768 
Wisconsin,2004,3034581 ,152517 
Wyoming,2004,274794 ,10473 
Alabama,2005,2146025 ,96234 
Alaska,2005,344559 ,23748 
Arizona,2005,2883226 ,134854 
Arkansas,2005,1345913 ,70465 
California,2005,17530064 ,947413 
Colorado,2005,2563900 ,128818 
Connecticut,2005,1796976 ,87594 
Delaware,2005,432409 ,17944 
District of Columbia,2005,315616 ,20132 
Florida,2005,8720970 ,321996 
Georgia,2005,4586420 ,245197 
Hawaii,2005,626912 ,17955 
Idaho,2005,731670 ,29379 
Illinois,2005,6397808 ,363895 
Indiana,2005,3205436 ,175477 
Iowa,2005,1629764 ,69595 
Kansas,2005,1465640 ,73616 
Kentucky,2005,1999777 ,117834 
Louisiana,2005,2069403 ,148018 
Maine,2005,697153 ,34021 
Maryland,2005,2924546 ,121059 
Massachusetts,2005,3384116 ,164027 
Michigan,2005,5083130 ,344228 
Minnesota,2005,2879760 ,117027 
Mississippi,2005,1317392 ,98567 
Missouri,2005,3009334 ,162328 
Montana,2005,486054 ,21147 
Nebraska,2005,972992 ,37086 
Nevada,2005,1223831 ,50122 
New Hampshire,2005,725849 ,25823 
New Jersey,2005,4391579 ,196684 
New Mexico,2005,918156 ,46908 
New York,2005,9460866 ,474007 
North Carolina,2005,4317428 ,226389 
North Dakota,2005,355545 ,12037 
Ohio,2005,5890046 ,348964 
Oklahoma,2005,1703293 ,76183 
Oregon,2005,1845761 ,113916 
Pennsylvania,2005,6251402 ,310832 
Rhode Island,2005,565735 ,28541 
South Carolina,2005,2068599 ,139366 
South Dakota,2005,430606 ,16397 
Tennessee,2005,2904794 ,161411 
Texas,2005,11124240 ,600983 
Utah,2005,1272445 ,51828 
Vermont,2005,350766 ,12213 
Virginia,2005,3897042 ,139450 
Washington,2005,3263703 ,181304 
West Virginia,2005,790982 ,40421 
Wisconsin,2005,3021086 ,143000 
Wyoming,2005,276527 ,9897 
Alabama,2006,2167809 ,87576 
Alaska,2006,349691 ,23149 
Arizona,2006,2990441 ,126056 
Arkansas,2006,1365410 ,70504 
California,2006,17654109 ,864687 
Colorado,2006,2622243 ,112514 
Connecticut,2006,1828651 ,79460 
Delaware,2006,441184 ,15785 
District of Columbia,2006,316083 ,18297 
Florida,2006,9000204 ,290682 
Georgia,2006,4710775 ,221647 
Hawaii,2006,638260 ,16687 
